quote_id,vendor_id,sent_timestamp,status
7387,NONE,2025-06-18 22:36:09.470154,skipped_no_vendor_SOL-EPOXY
7833,"Consolidated Metal Technologies, Inc.",2025-06-18 22:36:11.394164,draft_saved_Anodize
7833,"Brooks Industrial Coatings, Inc.",2025-06-18 22:36:13.078503,draft_saved_Anodize
7833,Gleco Plating,2025-06-18 22:36:14.572628,draft_saved_Anodize
7833,Nxedge Inc.,2025-06-18 22:36:16.255567,draft_saved_Anodize
7387,"Consolidated Metal Technologies, Inc.",2025-06-18 22:39:36.936368,draft_saved_Electroless Nickel
7387,Gleco Plating,2025-06-18 22:39:39.975066,draft_saved_Electroless Nickel
7387,Nxedge Inc.,2025-06-18 22:39:43.117685,draft_saved_Electroless Nickel
7387,NONE,2025-06-18 22:39:43.253432,skipped_no_vendor_SOL-EPOXY
7833,"Consolidated Metal Technologies, Inc.",2025-06-18 22:39:45.423037,draft_saved_Anodize
7833,"Brooks Industrial Coatings, Inc.",2025-06-18 22:39:47.103076,draft_saved_Anodize
7833,Gleco Plating,2025-06-18 22:39:48.831261,draft_saved_Anodize
7833,Nxedge Inc.,2025-06-18 22:39:50.532018,draft_saved_Anodize
